revenues,revenues(change%),profit,profit(change%),asset($m),marketcap(03032021),change_rank(1000),employees,change_rank(500),measure_rank,company
"$5,318.8",19.5%,$108.4,-,"$5,045.6",$964.8,97,"8,700",-,-,Tutor Perini
"$5,314.8",3.7%,$-632.2,-,"$16,116.9","$6,893.6",37,"20,500",-,-,ADT
"$5,274.2",-1.4%,$570.6,60.3%,"$17,426.1","$41,794.8",17,"18,000",-,-,Microchip Technology
"$5,271.1",3.9%,$294.9,8.2%,"$4,528.4","$3,108",38,"28,000",-,-,Michaels
"$5,259",-62.9%,$261,-44.5%,"$11,443","$13,932",-281,"19,700",-,-,Howmet Aerospace
"$5,258",-46.2%,"$-1,714",-,"$16,908",$268.7,-182,"24,000",-,-,Hertz Global Holdings
"$5,255",-4.8%,$234.2,10.6%,"$8,668","$17,138.4",3,"32,750",-,-,ON Semiconductor
"$5,238",-7.4%,$817,-42.1%,"$123,038","$16,071.9",-10,"15,578",-,-,Huntington Bancshares
"$5,237.4",-2.5%,$207.5,-28.9%,"$5,277.3","$6,367.8",6,"20,000",-,-,Sonoco Products
"$5,225",0.9%,$226,86.8%,"$12,525","$2,625.8",24,"9,200",-,-,Telephone & Data Systems
"$5,210",-38.6%,-,-,"$6,584","$4,248.2",-140,"1,300",-,-,Chesapeake Energy
"$5,205.7",3.3%,$409.9,-22.8%,"$14,341.9","$5,229.2",31,"9,500",-,-,Kemper
"$5,199",-56.9%,"$-2,612",-562.3%,"$18,690","$24,762",-252,"19,100",-,-,Expedia Group
"$5,182",-6.1%,$699,-21.4%,"$18,395","$32,152.7",-3,"14,200",-,-,TransDigm Group
"$5,162.1",-60%,"$-1,032.7",-150.4%,"$36,494.9","$18,805.2",-268,"48,500",-,-,MGM Resorts International
"$5,154",16.7%,$246.8,37.4%,"$2,404.9","$4,683.3",88,"12,000",-,-,UFP Industries
"$5,109",-15.9%,$306.3,-32.6%,"$2,557.4","$8,831.7",-37,"13,000",-,-,Robert Half International
"$5,091",-30.9%,"$-2,680",-,"$9,912","$14,707.2",-101,"1,400",-,-,Devon Energy
"$5,089.8",-21.3%,$-215.3,-,"$2,472.6","$13,275.2",-57,"22,000",-,-,GameStop
"$5,084.2",-1.1%,$363.2,-20.3%,"$13,555.7","$34,741.5",18,"13,700",-,-,International Flavors & Fragrances
"$5,071",1.7%,$37,2.8%,"$5,610","$4,043.7",25,"14,700",-,-,Resideo Technologies
"$5,054.9",6%,$269.6,9.6%,"$2,484.3","$10,068.2",42,"5,800",-,-,Watsco
"$5,050.6",24.6%,$338.1,179.7%,"$5,022.3","$5,769.6",114,"29,050",-,-,Amkor Technology
"$5,007.4",3.7%,$172.5,1416.4%,"$3,222.5","$2,706.9",36,"14,900",-,-,Coca-Cola Consolidated
"$4,969",-10.1%,$219,-,"$7,082","$4,610.6",-16,"6,500",-,-,Chemours
"$4,961.4",-17.7%,$-652.1,-201.4%,"$7,924.2","$11,449.7",-43,"14,850",-,-,Tapestry
"$4,938.6",286.3%,"$3,382.5",715%,"$11,493.5","$12,729",-,"7,500",-,-,UWM Holdings
"$4,921.9",9.6%,$308.7,59.3%,"$6,511.6","$4,625.7",65,"15,610",-,-,Silgan Holdings
"$4,920.2",11%,$-26.5,-,"$6,075.7","$6,692.4",-,"27,081",-,-,Petco Health and Wellness
"$4,913.4",-4.6%,$618.3,-7.7%,"$27,114.8","$13,512.9",7,"5,133",-,-,Evergy
"$4,910.2",100.3%,$-33.3,-120.9%,"$16,058.6","$20,607.4",348,"15,900",-,-,Ingersoll Rand
"$4,903.2",2.3%,$502.9,91.2%,"$6,083.8","$7,098.4",30,"16,500",-,-,Sealed Air
"$4,895.8",12.3%,$785.9,27.6%,"$7,414.5","$21,408.4",76,"5,100",-,-,Church & Dwight
"$4,894",3.1%,$730,-14.6%,"$22,471","$7,217.2",34,"8,300",-,-,OneMain Holdings
"$4,883.6",0.3%,"$2,105.2",-0.5%,"$124,659.6","$73,330",21,"4,370",-,-,CME Group
"$4,876",-7.1%,$254,-36.7%,"$8,750","$18,932.7",-8,"16,150",-,-,Xylem
"$4,856.8",-1.5%,$584.5,-5.4%,"$11,686.9","$22,387",12,"8,847",-,-,Vulcan Materials
"$4,846",-20.8%,$-13.9,-141.7%,"$3,443.9",$395.3,-60,"16,374",-,-,TravelCenters of America
"$4,835",-8.6%,$744.3,-29.7%,"$9,496.3","$10,133.3",-13,"11,000",-,-,Western Union
"$4,827.3",-1.4%,$358.7,-15.6%,"$13,443.7","$4,709.8",12,"4,300",-,-,Hanover Insurance Group
"$4,804",-26.2%,"$-3,093",-,"$18,821","$21,722.4",-82,"1,621",-,-,Hess
"$4,737.9",4.6%,$731.8,-3.8%,"$29,046.7","$11,203.5",48,"3,261",-,-,Globe Life
"$4,735.9",-18.5%,$114.9,-18.9%,"$2,985.4","$2,685.6",-53,"6,307",-,-,Rush Enterprises
"$4,729.9",-0.2%,$721,17.8%,"$10,580.8","$20,917.1",26,"8,700",-,-,Martin Marietta Materials
"$4,710.8",-27.9%,$-561.3,-,"$5,916.3","$1,100.4",-87,"20,000",-,-,American Axle & Manufacturing
"$4,688.9",-8.3%,-,-,"$9,421.1",-,-5,"11,945",-,-,Windstream Holdings II
"$4,681.7",-10.1%,$-17.6,-104.6%,"$22,040.5","$9,447.7",-16,"7,345",-,-,NiSource
"$4,681.5",16.1%,$153.7,221.4%,"$6,293.8","$13,260.2",91,"26,000",-,-,PPD
"$4,673.9",-3.5%,$410,32.6%,"$8,468","$7,966.1",9,"22,800",-,-,Knight-Swift Transportation Holdings
"$4,667.9",0.8%,$625.2,42.6%,"$15,923.6","$18,005.2",28,"24,600",-,-,SS&C Technologies Holdings
"$4,647",-11%,$-127,-251.2%,"$4,856","$1,856.2",-21,"6,600",-,-,Domtar
"$4,644.4",0.9%,$284.2,-20.8%,"$6,445.9","$8,129.9",29,"35,536",-,-,Encompass Health
"$4,642.1",-0.4%,$551.5,15.5%,"$10,186.4","$14,325",23,"6,400",-,-,FMC
"$4,634.4",-36.7%,"$1,613.3",118.3%,"$16,051.5","$23,881.5",-134,"17,000",-,-,Fortive
"$4,617.4",-5.6%,$-482.8,-,"$5,478.5","$1,757.4",-1,"20,230",-,-,Cornerstone Building Brands
"$4,613.4",-12%,$98.6,-71.6%,"$5,812.4","$6,579.6",-27,"8,800",-,-,Skechers U.S.A.
"$4,610.6",9.7%,$178.6,118.9%,"$1,899.3","$1,245.3",64,"18,765",-,-,Ingles Markets
"$4,607.5",-19.9%,"$1,112.6",-47.1%,"$34,786.8","$37,338.1",-63,"2,850",-,-,Simon Property Group
"$4,606",-10.1%,$978.8,-20.6%,"$32,483.6","$29,897.1",-19,423,-,-,Welltower
"$4,598.6",9.5%,"$1,409.6",27.2%,"$6,202.7","$48,108",62,"3,340",-,-,Monster Beverage
"$4,583.7",1.8%,$126.6,-,"$5,521.1","$6,935.5",30,"32,100",-,-,Mattel
"$4,570.5",-7.2%,$13.8,-,"$5,485.7","$2,921.2",-12,"10,900",-,-,TreeHouse Foods
"$4,552.8",-4.1%,$211.7,44%,"$3,516.2","$4,461",6,"15,225",-,-,Schneider National
"$4,540",-12%,$872.4,1.3%,"$10,357.5","$29,480.1",-28,"16,500",-,-,Ametek
"$4,536",99.5%,"$1,646.9",319.1%,"$31,597.8","$4,630.4",-,"6,632",-,-,PennyMac Financial Services
"$4,529",3.8%,$462.5,-4.1%,"$4,889.8","$17,728.8",42,"12,000",-,-,Broadridge Financial Solutions
"$4,521.4",-31.3%,$213.7,-23.1%,"$22,547.1","$5,570.3",-113,"8,000",-,-,Alliance Data Systems
"$4,519.5",30.6%,$118.5,-81.1%,"$8,715.1","$98,071.6",133,"13,096",-,-,ServiceNow
"$4,516",-15.7%,$-72,-164.1%,"$2,561.9",$875.4,-50,"7,100",-,-,Kelly Services
"$4,515",-1.7%,$108.8,-36.4%,"$5,510.9","$2,771.7",12,"16,000",-,-,Greif
"$4,513.7",-7.3%,$-53.5,-,"$2,185.8",$449.9,-16,"30,000",-,-,Yellow
"$4,506.9",8.4%,"$1,064.2",14.4%,"$142,502.1","$29,390",53,"5,483",-,-,First Republic Bank
"$4,504",-,$-676,-,"$5,405","$4,679.1",-,"14,000",-,-,Perspecta
"$4,501.3",48.1%,$811.4,252.4%,"$13,404.3","$6,092.5",199,"11,749",-,-,Nexstar Media Group
"$4,501.2",22.8%,$423.5,69.6%,"$3,864.4","$3,448.1",96,"1,570",-,-,Meritage Homes
"$4,474.7",-15%,$-549.2,-696%,"$5,030.6","$9,161.9",-49,"11,800",-,-,Under Armour
"$4,463",-0.3%,$-475,-285.5%,"$6,410","$17,657.7",19,"5,500",-,-,Warner Music Group
"$4,452.6",-22.7%,$-127.1,-132.2%,"$5,641.2","$9,559.8",-85,"14,800",-,-,Levi Strauss
"$4,448",-0.8%,$504,-7.4%,"$5,375","$25,941.3",15,"8,800",-,-,Zebra Technologies
"$4,445.1",-,$257.8,-25.3%,"$9,378.3","$8,285.1",19,"9,950",-,-,Juniper Networks
"$4,443.6",202.8%,"$2,013.1",5748.7%,"$10,893.2","$6,089.1",-,"11,763",-,-,loanDepot
"$4,438.7",33.3%,"$1,481.8",-5.8%,"$56,065","$78,412.9",143,"1,945",-,-,Prologis
"$4,433.2",-30.1%,$-71.7,-164.5%,"$3,092.5","$2,123.7",-117,"24,000",-,-,Dillard's
"$4,415.8",-5.6%,$192.8,46.9%,"$8,063.3","$7,905.1",-9,"24,386",-,-,Syneos Health
"$4,401.9",10.6%,$588.9,-8.8%,"$4,185.2","$39,985.1",-,"25,000",-,-,Lululemon Athletica
"$4,388",6.4%,$152.3,-7.4%,"$3,323","$5,038.5",43,"9,200",-,-,Flowers Foods
"$4,386.3",0.9%,$823.4,-21.3%,"$7,237.1","$52,027.1",24,"14,900",-,-,Edwards Lifesciences
"$4,370.6",-1.4%,$-183.6,-,"$5,073.8","$7,028.8",13,"20,972",-,-,Vertiv Holdings
"$4,358.4",-2.7%,"$1,060.6",-23.1%,"$11,168.9","$87,474.3",6,"8,081",-,-,Intuitive Surgical
"$4,347.5",-4.6%,$372.7,-,"$3,770.6","$7,436.2",-2,"14,382",-,-,Brunswick
"$4,339",-,$-19,-,"$3,496","$4,084.1",-,"5,466",-,-,Covetrus
"$4,318",19%,$-282.4,-,"$8,718.4","$60,368.5",82,"12,500",-,-,Workday
"$4,308",-32.8%,"$-4,860",-,"$12,746","$6,765.6",-130,"2,272",-,-,APA
"$4,307",-54.4%,$-715,-181.2%,"$16,755","$33,568.3",-258,"141,000",-,-,Hilton Worldwide Holdings
"$4,287",-0.6%,$138.2,-8.5%,"$1,584.3","$3,199.9",18,"3,600",-,-,Insperity
"$4,280.2",-9.9%,$247.6,-25.8%,"$4,754","$6,070.9",-29,"20,400",-,-,Leggett & Platt
"$4,245.2",-11.8%,$320.1,-32.3%,"$5,866.4","$8,670",-36,"12,500",-,-,Carlisle
"$4,235.7",-1.3%,$91.6,45.4%,"$3,964.7","$2,770",18,"23,000",-,-,JELD-WEN Holding
"$4,221",-1.9%,$627,1%,"$7,218","$26,684.5",16,"13,900",-,-,Keysight Technologies
"$4,186",-8.8%,$351.2,-12.4%,"$5,085.1","$10,151.3",-16,"19,100",-,-,Hubbell
"$4,183.2",-8.1%,$296.2,10.2%,"$5,356.4","$4,268",-12,"1,776",-,-,KB Home
"$4,163",-6.8%,$-118,-,"$4,256","$1,412.9",-5,"63,000",-,-,Conduent
"$4,147.3",-2.7%,$342.7,28.2%,"$14,149.3","$10,674.5",14,"24,000",-,-,Iron Mountain
"$4,136.4",1.1%,$192.1,-15.6%,"$1,653.8","$6,339.7",29,"1,320",-,-,Landstar System
"$4,131.6",30.9%,$387.4,-15.9%,"$3,380.5","$13,645.6",146,"6,866",-,-,Scotts Miracle-Gro
"$4,127.5",17.7%,$520.1,-,"$9,611.8","$22,174.5",84,"11,400",-,-,Equifax
"$4,124.1",-10.2%,$317,-35.7%,"$12,022.8","$9,732.1",-22,"3,038",-,-,CF Industries Holdings
"$4,117.4",13.8%,$491.3,22.6%,"$1,567.2","$14,270.4",69,"10,650",-,-,Domino's Pizza
"$4,112.6",16.1%,$118.9,74.9%,"$1,820.4","$1,520.3",75,"24,000",-,-,Weis Markets
"$4,099.4",-3.4%,$266.7,14.3%,"$7,316","$16,196.1",9,"15,600",-,-,Gartner
"$4,081.8",15.6%,"$1,208.4",6.3%,"$115,511","$26,602.6",75,"4,461",-,-,SVB Financial Group
"$4,054.4",-24.4%,$1.3,-99.7%,"$12,010.6","$6,147.9",-95,"5,150",-,-,Harley-Davidson
"$4,049.3",-1.8%,$145.5,-33.8%,"$28,490.9",-,17,"3,600",-,-,CUNA Mutual Group
"$4,044.7",-35.2%,"$-1,141.8",-,"$2,334.1",-,-143,"22,000",-,-,Mahwah Bergen Retail Group
"$4,040.5",7.1%,"$1,098.1",6.2%,"$8,550.7","$35,349.1",45,"15,700",-,-,Paychex
"$4,034",4.6%,$272,28.3%,"$3,043","$5,144.6",39,"2,700",-,-,TriNet Group
"$4,015.1",-2.3%,$672.7,9.3%,"$4,369.4","$28,112.9",15,"19,779",-,-,Old Dominion Freight Line
"$3,978.9",5.6%,$442,19.2%,"$13,438","$12,011.7",43,"22,200",-,-,Amerco
"$3,964.2",-4.2%,$97.8,-80.2%,"$5,107.3","$3,622.9",8,"12,100",-,-,Spectrum Brands Holdings
"$3,950.6",0.7%,$200.3,14.7%,"$3,278","$5,058.3",30,"4,200",-,-,ASGN
"$3,942.2",-3.1%,$627,-9.6%,"$6,557.3","$12,561",14,"12,300",-,-,Snap-on
"$3,936.6",23%,$366.7,40.2%,"$1,739.7","$13,863.5",123,"4,750",-,-,Pool
"$3,918.9",-0.9%,$98.5,-18.2%,"$3,937.7","$4,139.5",23,"15,500",-,-,Parsons
"$3,906.2",-14.4%,$-59,-503.3%,"$4,062.2",$47.3,-37,"44,000",-,-,Genesis Healthcare
"$3,903.6",21.6%,$356.4,-38.5%,"$36,076.3","$39,593.1",119,"2,878",-,-,Digital Realty Trust
"$3,902.3",-11.5%,$-269.1,-,"$3,657.4","$1,104.7",-21,"22,000",-,-,Diebold Nixdorf
"$3,901.2",18.5%,$367.6,54.2%,"$3,864.9","$4,160.3",104,"1,773",-,-,MDC Holdings
"$3,893.8",-35.7%,$-421.5,-,"$8,550.9","$2,102.3",-147,"1,069",-,-,EnLink Midstream
"$3,858",-18.5%,"$3,887",12438.7%,"$7,735","$12,371.2",-58,"3,600",-,-,NortonLifeLock
"$3,821.1",-4.8%,$301.8,-26.3%,"$35,339.9","$3,245.4",11,"3,400",-,-,CNO Financial Group
"$3,817.8",8.6%,$503.5,12.3%,"$26,604.3","$6,724.6",57,"8,500",-,-,Stifel Financial
"$3,795.4",-2%,$439.1,1.4%,"$23,929.4","$19,984.3",21,448,-,-,Ventas
"$3,792.4",1%,$365.9,-23.5%,"$4,662.3","$11,339.6",30,"7,700",-,-,Lamb Weston Holdings
"$3,792.4",-6.8%,$467.5,-24.6%,"$29,467.8","$2,900.3",-,"4,600",-,-,American National Group
"$3,790.4",15.8%,"$1,208.2",463.3%,"$7,279.8","$60,860",100,"11,500",-,-,Autodesk
"$3,784.5",-4.7%,$374.6,17%,"$6,328.2","$3,367.1",8,"4,300",-,-,Mercury General
"$3,782.7",31.2%,$727.9,219.9%,"$7,960.3","$14,376.4",170,"14,000",-,-,PerkinElmer
"$3,777",4.6%,$709,14.2%,"$24,766","$27,205.6",42,"7,000",-,-,American Water Works
"$3,776.4",12.1%,"$1,115.2",-,"$7,195.8","$19,164.9",77,"5,814",-,-,Hologic
"$3,759.1",-12.7%,$-209.3,-209.4%,"$3,434.8","$4,874.3",-26,"21,750",-,-,American Eagle Outfitters
"$3,728.1",-5.4%,$116.3,-51.3%,"$5,314.7","$5,056",7,"16,000",-,-,Flowserve
"$3,728",-32.6%,$412,-31%,"$87,412","$2,629.8",-134,"6,485",-,-,Navient
"$3,723.7",8.1%,$199.7,58.5%,"$2,565.4","$1,653.5",61,"13,350",-,-,Steelcase
"$3,720.8",55.9%,$-270.2,-,"$1,365.1",-,-,"2,702",-,-,Compass
"$3,716.3",7.4%,"$-1,135.6",-177.5%,"$13,379.1","$50,786.4",57,"5,500",-,-,Twitter
"$3,702.4",9.7%,$67.2,-27.7%,"$3,088.4",$616.4,68,"3,911",-,-,Triple-S Management
"$3,700.2",-0.1%,$287,-27.5%,"$40,003.5",-,18,"3,162",-,-,Penn Mutual Life Insurance
"$3,690.9",0.2%,$16,-44.8%,"$5,135.6","$3,939.5",19,"75,100",-,-,Brink's
"$3,685.3",9.7%,$664.3,24.8%,"$8,030.1","$37,755",72,"15,036",-,-,Synopsys
"$3,676.9",18.4%,$348.8,84.1%,"$3,308.6","$7,376.6",111,"9,000",-,-,Tempur Sealy International
"$3,634.1",-4.5%,$356.3,-12.8%,"$2,032.5","$11,757.4",7,"10,300",-,-,Lennox International
"$3,612",-73.7%,"$-1,685",-162.5%,"$20,807","$46,412.4",-419,"46,000",-,-,Las Vegas Sands
"$3,609.2",-6.8%,$-192.7,-434.5%,"$1,692.1",$762.3,-1,"2,200",-,-,ScanSource
"$3,587",-,$-153,-,"$4,065","$4,149.5",-,"13,000",-,-,APi Group
"$3,587",3.3%,$550.6,2.3%,"$20,020.4","$9,167.5",44,"6,026",-,-,Pinnacle West Capital
"$3,585.3",-2.6%,$201.8,-37.8%,"$21,631.5",-,12,"4,150",-,-,Sentry Insurance Group
"$3,578.7",-32.5%,$-669.5,-1625.1%,"$14,667.3","$16,406",-132,"18,321",-,-,Penn National Gaming
"$3,571.9",6.2%,$296.8,-5%,"$5,613.3","$12,004.7",60,"10,000",-,-,Darling Ingredients
"$3,566",-59.4%,"$-1,324",-272.2%,"$14,046","$8,608.9",-301,"20,677",-,-,Alaska Air Group
"$3,564.3",3.6%,$28.3,-46.9%,"$1,849","$3,478.6",45,"17,445",-,-,Sanderson Farms
"$3,562.5",3.4%,$-145.1,-,"$2,380","$1,843",49,"4,100",-,-,Granite Construction
"$3,554.1",2.2%,$-181.5,-193.3%,"$5,220.1","$1,431",35,"11,500",-,-,Pitney Bowes
"$3,540.2",-12.7%,$82,-,"$6,901.8","$1,109.9",-27,"38,250",-,-,Brookdale Senior Living
"$3,532.2",-1.1%,$361.3,42.6%,"$4,180.9","$8,481.8",18,"7,032",-,-,Ciena
"$3,524.2",0.6%,$100.4,20%,"$2,611.6",-,28,"2,873",-,-,Medical Mutual of Ohio
"$3,514.3",-9.3%,$113.2,-58.3%,"$2,895.1","$2,271",-15,"30,000",-,-,Sally Beauty Holdings
"$3,513.2",-7.3%,$284.5,-21.4%,"$5,041.6","$6,165.9",-8,"17,430",-,-,Timken
"$3,511.5",8.7%,$515.9,39.6%,"$14,515.4","$8,646.4",72,"20,319",-,-,Service Corp. International
"$3,495.6",-4.7%,$73.6,-31.4%,"$2,105.4","$2,316.7",1,"5,000",-,-,Hub Group
"$3,491.7",-20.8%,"$-1,267.9",-,"$13,150.8","$3,072.1",-64,522,-,-,Antero Resources
"$3,491.5",12.4%,$105,27.5%,"$1,969.6","$1,779.9",89,"10,414",-,-,Primoris Services
"$3,478.7",-23.9%,$-654.9,-,"$9,633.6",-,-,"6,400",-,-,Endeavor Group Holdings
"$3,474",37.4%,"$-1,757",-2269.1%,"$36,385","$18,213.9",193,"21,000",-,-,Caesars Entertainment
"$3,466.6",-23%,$-65.8,-179.9%,"$1,802.1",$649.5,-82,"3,900",-,-,Ryerson Holding
"$3,461.5",19.9%,$214.5,-10.9%,"$2,024.7","$5,471.7",131,"34,300",-,-,Maximus
"$3,449.7",-13.4%,$1.2,-99.3%,"$3,546.3","$3,637.8",-34,"14,250",-,-,Urban Outfitters
"$3,427.1",37.3%,$468.2,24.9%,"$6,516.5","$10,580.6",193,"1,010",-,-,Cboe Global Markets
"$3,416",-6.4%,$614,10.2%,"$17,710","$13,533.6",-5,"3,375",-,-,Alliant Energy
"$3,409.4",-6%,$13.2,-,"$2,739.8","$1,236.8",-,"10,380",-,-,ARKO
"$3,408.4",17.5%,$-267,-,"$9,065.4","$31,318",122,"8,014",-,-,Palo Alto Networks
"$3,405.7",82.3%,$-670.5,-,"$3,108.9",$748,-,"20,800",-,-,Gannett
"$3,404.8",-56.7%,$-870.3,-264.2%,"$8,383.9","$5,129.7",-278,"14,500",-,-,Spirit AeroSystems Holdings
"$3,390.4",7.1%,$117.5,8.2%,"$2,289.8","$2,646.7",65,"19,500",-,-,Plexus
"$3,390",48.8%,$845,91.7%,"$84,209","$9,362.6",241,"8,358",-,-,First Horizon
"$3,378.8",7.7%,$329.7,20.3%,"$2,853.2","$11,099.9",69,"10,385",-,-,Toro
"$3,378.2",-29.7%,"$-4,584.7",-,"$10,491.5","$114,349.2",-,"5,597",-,-,Airbnb
"$3,363",1.2%,$827,-1%,"$5,766","$32,119.3",41,"4,800",-,-,Brown-Forman
"$3,355.7",-0.6%,$814.8,-4.5%,"$5,106.7","$30,290.4",24,"10,000",-,-,Skyworks Solutions
"$3,342",-17.1%,$-83,-131.6%,"$9,342","$13,977.5",-49,"15,000",-,-,Dentsply Sirona
"$3,339.8",21.8%,$-162.1,-,"$7,486.6","$31,310.9",140,"5,504",-,-,Zillow Group
"$3,339.3",-4.6%,$84.3,17.2%,"$1,918.6","$1,975.5",4,"3,987",-,-,Super Micro Computer
"$3,329.2",3.3%,$78.1,6.7%,"$1,656.8","$2,973.9",50,"9,500",-,-,PriceSmart
"$3,326.5",-2.2%,$182.7,-13.3%,"$15,043",-,15,"3,150",-,-,Puget Energy
"$3,326.3",-9.4%,$248.3,-24.8%,"$3,491.7","$5,891.4",-25,"11,500",-,-,Acuity Brands
"$3,316.7",11%,$-495.1,-461.4%,"$6,432.9","$13,201.3",90,"6,621",-,-,GoDaddy
"$3,298.9",5.7%,$232.3,8.6%,"$8,735.9","$3,935.9",59,"11,149",-,-,Southwest Gas Holdings
"$3,273.3",6.6%,$-560.1,-924.9%,"$17,692.7","$13,924",69,"10,200",-,-,Elanco Animal Health
"$3,260.4",5.8%,$282.2,36.2%,"$4,022","$2,430.3",66,"1,163",-,-,Tri Pointe Homes
"$3,245.7",-6.5%,$24,-83.3%,"$2,283.6","$3,540.3",-1,"6,200",-,-,Applied Industrial Technologies
"$3,242.1",-3.3%,$131.6,-77.6%,"$4,870.5","$4,315.5",22,"8,400",-,-,Avient
"$3,241.3",4%,$23.4,-58.2%,"$2,288.8","$1,788.8",55,"5,611",-,-,GMS
"$3,239.3",111.7%,$649.2,-,"$9,965.8","$5,974.4",-,976,-,-,Virtu Financial
"$3,239.1",4.8%,$334.3,151.1%,"$6,560.7","$20,693.1",60,"7,900",-,-,Qorvo
"$3,239",-8.6%,$656,-34.5%,"$7,585","$56,034.4",-19,"8,575",-,-,Illumina
"$3,236.7",7.5%,$504.4,-26%,"$4,890.3","$17,259.2",72,"9,000",-,-,Citrix Systems
"$3,211.1",17.2%,$360.3,-,"$6,029.2","$1,740.5",125,"4,061",-,-,Atlas Air Worldwide Holdings
"$3,209.7",3.3%,$-672.1,-717.1%,"$6,499.4","$5,109",51,"35,400",-,-,Acadia Healthcare
"$3,199.2",-4.2%,$34.3,-40%,"$1,944.2","$2,842.7",15,"14,276",-,-,Dycom Industries
"$3,198.1",10.5%,$557.1,16.5%,"$7,764.1","$16,632.1",95,"8,368",-,-,Akamai Technologies
"$3,192.4",-5.1%,$251.1,-13.1%,"$2,382.4","$5,033.9",9,"6,315",-,-,MSC Industrial Direct
"$3,183.4",3.8%,$197,-18.9%,"$4,178.5","$9,896.5",56,"18,100",-,-,PRA Health Sciences
"$3,170.6",-23.4%,$-158.7,-221.6%,"$3,362.1","$2,403.5",-86,"77,000",-,-,Bloomin' Brands
"$3,168.2",-1.8%,$269.2,-7.8%,"$4,462.2","$16,212.3",28,"10,613",-,-,Varian Medical Systems
"$3,162.7",3.4%,$792.7,-10.9%,"$4,693.3","$30,450.5",56,"4,891",-,-,Xilinx
"$3,161.2",24.7%,$206.2,82.4%,"$2,845.1","$2,033.3",150,"1,403",-,-,Century Communities
"$3,155.7",-16.6%,$-162.4,-,"$5,777.5","$3,760.9",-,"40,000",-,-,Advantage Solutions
"$3,150.4",-4.4%,$-615.3,-216.1%,"$58,106.6","$5,084.4",13,"4,306",-,-,CIT Group
"$3,147.7",-3.6%,$389.9,-24.2%,"$6,876.9","$19,551.9",18,"11,402",-,-,Trimble
"$3,144.1",-7.9%,$134.8,38%,"$4,131.5","$4,606.2",-12,"13,500",-,-,Clean Harbors
"$3,134.6",22.5%,$106.7,592.1%,"$2,485.6","$3,513.8",143,860,-,-,Grocery Outlet Holding
"$3,128.9",-12.8%,$375.8,-29.5%,"$10,450.9","$17,053.7",-40,"5,900",-,-,Albemarle
"$3,125.4",-13.7%,$-114,-389.7%,"$3,314.9","$2,131.1",-46,"20,550",-,-,Abercrombie & Fitch
"$3,124.9",-42.1%,$-409.1,-1102.4%,"$2,133.9",$843.7,-209,"1,403",-,-,Par Pacific Holdings
"$3,121.5",36%,$784.1,67.7%,"$3,652.3","$20,267.6",195,"5,500",-,-,Teradyne
"$3,097.3",17.4%,$80.9,-,"$1,048.1",$371.1,125,"2,100",-,-,BlueLinx Holdings
"$3,094.3",22.9%,$220.7,60.6%,"$7,776.5","$17,926.6",141,"13,900",-,-,Catalent
"$3,094",-18.9%,$474,-60.4%,"$88,129","$10,007.1",-70,"7,681",-,-,Comerica
"$3,089",15.8%,$404.5,21.2%,"$4,948.8","$20,351.9",115,"5,800",-,-,Take-Two Interactive Software
"$3,087.9",10%,$137.1,-14.4%,"$3,301.7","$3,876",93,"11,400",-,-,EnerSys
"$3,086.2",-2.4%,$401.9,-0.1%,"$5,084.8","$15,314.3",19,"10,670",-,-,Teledyne Technologies
"$3,086",-40.5%,"$-1,451",-402.3%,"$17,956","$8,427.3",-199,"1,672",-,-,Marathon Oil
"$3,085.2",2.5%,$602.7,7.4%,"$2,814.5","$26,951.7",46,"15,700",-,-,Mettler-Toledo International
"$3,082.4",-34.1%,$-10.6,-119.5%,"$3,031.8","$3,212.3",-159,"8,200",-,-,Terex
"$3,078.5",-4.3%,$24.4,-84.2%,"$2,356","$3,230.4",9,"62,200",-,-,Brinker International
"$3,070.8",-29%,$42.6,-,"$7,351.5","$5,896.7",-123,"15,400",-,-,Colfax
"$3,059.1",-18.6%,$78.8,-48.7%,"$2,331.5","$3,476.1",-74,"9,000",-,-,Worthington Industries
"$3,058.8",-30.7%,$-967.2,-,"$18,113.5","$5,181.1",-134,624,-,-,EQT
"$3,047.7",-,$269.7,-,"$9,135.4","$19,201.2",-,"8,200",-,-,IAC/InterActiveCorp
"$3,046.1",21.8%,$239.9,88%,"$2,643","$1,719.5",130,"1,515",-,-,M/I Homes
"$3,044",-30.6%,$245,-15.8%,"$2,884","$2,134",-133,"8,600",-,-,Meritor
"$3,034",-6.6%,$80,-74.4%,"$3,017",$393.5,-4,"7,450",-,-,Garrett Motion
"$3,032.6",31.3%,$-8.1,-,"$2,647.4","$3,189.9",174,"5,499",-,-,Option Care Health
"$3,024.3",-14.1%,$109.7,-58.4%,"$3,392.6","$3,908.5",-56,"18,000",-,-,Carter's
"$3,009",-27.3%,$-128.3,-,"$1,927.7",$194.9,-116,"15,800",-,-,Quad/Graphics
"$3,003",-11%,$-230,-,"$4,002",-,-30,"2,600",-,-,Hexion
"$2,994.9",-3.6%,$173.9,9.6%,"$2,378.6","$7,359.9",13,"20,000",-,-,Tetra Tech
"$2,982.1",-27.7%,"$-1,572.6",-710.5%,"$4,034.9","$2,671",-116,"6,500",-,-,Allegheny Technologies
"$2,960.7",-18%,$-234.3,-606%,"$5,510.1","$1,359",-69,"5,330",-,-,Meredith
